,resultId,raceId,driverId,constructorId,grid,resultPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,raceYear,round,circuitId,raceName,raceDate,circuitRef,circuitName,circuitLocation,country,lat,lng,alt,driverRef,driverNumber,driverCode,forename,surname,driverDOB,driverNationality,constructorRef,constructorName,constructorNationality,status,pitStopNumber,pitStopLap,pitStopTime,pitStopDuration,pitStopMilliseconds,qualifyId,qualifyingPosition,q1,q2,q3
0,20779,841,20,9,1,1,1,1,25.0,58,1:29:30.259,5370259,44,4,1:29.844,212.488,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,red_bull,Red Bull,Austrian,Finished,1,14,17:25:17,22.603,22603,4537,1,1:25.296,1:24.090,1:23.529
1,20779,841,20,9,1,1,1,1,25.0,58,1:29:30.259,5370259,44,4,1:29.844,212.488,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,red_bull,Red Bull,Austrian,Finished,2,36,17:59:17,24.036,24036,4537,1,1:25.296,1:24.090,1:23.529
2,20780,841,1,1,2,2,2,2,18.0,58,+22.297,5392556,41,8,1:30.314,211.382,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,mclaren,McLaren,British,Finished,1,16,17:28:24,23.227,23227,4538,2,1:25.384,1:24.595,1:24.307
3,20780,841,1,1,2,2,2,2,18.0,58,+22.297,5392556,41,8,1:30.314,211.382,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,mclaren,McLaren,British,Finished,2,36,17:59:29,23.199,23199,4538,2,1:25.384,1:24.595,1:24.307
4,20781,841,808,4,6,3,3,3,15.0,58,+30.560,5400819,55,7,1:30.064,211.969,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,petrov,\N,PET,Vitaly,Petrov,1984-09-08,Russian,renault,Renault,French,Finished,1,16,17:28:39,24.535,24535,4542,6,1:25.543,1:25.582,1:25.247
5,20781,841,808,4,6,3,3,3,15.0,58,+30.560,5400819,55,7,1:30.064,211.969,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,petrov,\N,PET,Vitaly,Petrov,1984-09-08,Russian,renault,Renault,French,Finished,2,36,17:59:47,25.683,25683,4542,6,1:25.543,1:25.582,1:25.247
6,20782,841,4,6,5,4,4,4,12.0,58,+31.772,5402031,49,2,1:29.487,213.336,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,ferrari,Ferrari,Italian,Finished,1,12,17:22:34,23.251,23251,4541,5,1:25.707,1:25.242,1:24.974
7,20782,841,4,6,5,4,4,4,12.0,58,+31.772,5402031,49,2,1:29.487,213.336,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,ferrari,Ferrari,Italian,Finished,2,27,17:46:04,24.733,24733,4541,5,1:25.707,1:25.242,1:24.974
8,20782,841,4,6,5,4,4,4,12.0,58,+31.772,5402031,49,2,1:29.487,213.336,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,ferrari,Ferrari,Italian,Finished,3,42,18:09:08,24.181,24181,4541,5,1:25.707,1:25.242,1:24.974
9,20783,841,17,9,3,5,5,5,10.0,58,+38.171,5408430,50,3,1:29.600,213.066,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,red_bull,Red Bull,Austrian,Finished,1,11,17:20:48,23.426,23426,4539,3,1:25.900,1:24.658,1:24.395
10,20783,841,17,9,3,5,5,5,10.0,58,+38.171,5408430,50,3,1:29.600,213.066,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,red_bull,Red Bull,Austrian,Finished,2,26,17:44:29,22.520,22520,4539,3,1:25.900,1:24.658,1:24.395
11,20783,841,17,9,3,5,5,5,10.0,58,+38.171,5408430,50,3,1:29.600,213.066,1,2011,1,1,Australian Grand Prix,2011-03-27,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,webber,\N,WEB,Mark,Webber,1976-08-27,Australian,red_bull,Red Bull,Austrian,Finished,3,41,18:07:37,26.230,26230,4539,3,1:25.900,1:24.658,1:24.395
